Unnamed: 0,Location,Company_Revenue,python,sql,machine learning,r,hadoop,Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Stars,No_of_Reviews,Company_Industry,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries,Company_Employees,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA
2290,CA,Missing,1,1,1,0,0,Senior NLP/Deep Learning Scientist,140000-159999,data_scientist,"['TensorFlow', 'Natural Language Processing', 'Machine Learning', 'Python', 'SQL']",5,Harnham,5,6.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"Less than 10,000",0,0,0,0,1,1,0,0,0,0
2291,CA,Missing,1,1,1,0,0,Machine Learning Team Lead,140000-159999,data_scientist,"['AI', 'Spark', 'Machine Learning', 'Python', 'SQL']",5,Coinbase,5,3.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,1,0,1,1,0,0,0,0
2292,IL,$1B to $5B (USD),0,0,1,0,1,Senior Manager - AI/Data Scientist Pre-Sales Architect,140000-159999,data_scientist,"['IIS', 'TensorFlow', 'Machine Learning', 'Hadoop', 'Azure', 'Tableau', 'Big Data', 'Cassandra', 'Spark']",9,Avanade,4,201.0,Consulting and Business Services,1,0,0,0,0,0,1,0,0,0,0,0,"10,000+",1,0,1,0,1,0,0,0,0,0
2293,NY,More than $10B (USD),1,0,1,0,1,VP - Data Scientist - Applications Development Technical Lea...,140000-159999,data_scientist,"['Hive', 'Machine Learning', 'Hadoop', 'Kafka', 'Predictive Analytics', 'Spark', 'Python']",7,Citi,4,14629.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0,"10,000+",0,0,1,0,1,0,1,0,0,0
2294,NY,More than $10B (USD),1,0,1,0,1,VP - Data Scientist - Applications Development Technical Lea...,140000-159999,data_scientist,"['Hive', 'Machine Learning', 'Hadoop', 'Kafka', 'Predictive Analytics', 'Spark', 'Python']",7,Citi,4,14629.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0,"10,000+",0,0,1,0,1,0,1,0,0,0
2295,NY,Missing,1,1,0,0,1,Senior Data Scientist - NLP / Product Science,140000-159999,data_scientist,"['TensorFlow', 'Pig', 'Hive', 'Hadoop', 'SQL', 'Natural Language Processing', 'Cassandra', 'Spark', 'Python']",9,IQ Workforce,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,0,1,0,1,0,0,0
2296,CA,Missing,1,0,1,0,0,Senior Data Scientist (Machine Learning / Computer Vision) -...,140000-159999,data_scientist,"['Data Mining', 'Machine Learning', 'MATLAB', 'Image Processing', 'Python']",5,Redfish Technology - High Tech Executive Recruiters,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,1,0,0,0,0
2297,CA,Missing,1,0,1,0,0,23222 Senior Data Scientist (Machine Learning / Computer Vis...,140000-159999,data_scientist,"['Data Mining', 'Machine Learning', 'MATLAB', 'Image Processing', 'Python']",5,Redfish Technology - High Tech Executive Recruiters,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,1,0,0,0,0
2298,NY,Missing,0,0,1,0,0,"Product Manager, Machine Learning",140000-159999,data_scientist,['Machine Learning'],1,"Two Sigma Investments, LLC.",4,8.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0,missing,0,0,0,0,0,0,1,0,0,0
2299,CA,Less than $1B (USD),0,0,0,0,0,Machine Learning Global Program Director,140000-159999,data_scientist,"['Program Management', 'AI', 'Project Management']",3,Lionbridge Technologies,3,264.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"Less than 10,000",0,0,0,0,1,1,0,0,0,0
2300,CA,Missing,1,1,1,1,1,Data scientist with Big data experience,140000-159999,data_scientist,"['Statistical Software', 'Hive', 'Machine Learning', 'Hadoop', 'R', 'SAS', 'SQL', 'Big Data', 'Spark', 'Data Analysis', 'Python']",11,Dice,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,1,1,0,1,1,0,0,0,0
2301,CA,$5B to $10B (USD),1,0,1,0,0,Director of Machine Learning,140000-159999,data_scientist,"['TensorFlow', 'Natural Language Processing', 'Machine Learning', 'Docker', 'Azure', 'Python', 'AWS']",7,GlassDoor,0,0.0,"Restaurants, Travel and Leisure",0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,0,0,1,1,0,0,0,0
2302,CA,Missing,1,0,1,1,1,Lead Data Scientist,140000-159999,data_scientist,"['Hive', 'Data Mining', 'Machine Learning', 'Hadoop', 'Network', 'R', 'Scala', 'Java', 'Spark', 'NoSQL', 'MATLAB', 'Python']",12,Payette Group,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,1,1,1,0,0,0,0
2303,CA,Missing,1,0,1,1,1,Lead Data Scientist,140000-159999,data_scientist,"['Hive', 'Data Mining', 'Machine Learning', 'Hadoop', 'Network', 'R', 'Scala', 'Java', 'Spark', 'NoSQL', 'MATLAB', 'Python']",12,Payette Group,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,1,1,1,0,0,0,0
2304,CA,More than $10B (USD),0,1,0,0,0,Machine Learning Architect,140000-159999,data_scientist,"['Database Administration', 'Leadership Experience', 'SQL']",3,PwC,4,5986.0,Insurance,0,0,0,0,0,0,0,0,0,0,1,0,"10,000+",0,0,0,0,1,1,0,0,0,0
2305,MA,$5B to $10B (USD),1,0,1,0,0,Artificial Intelligence / Machine Learning Scientist PhD REQ...,140000-159999,data_scientist,"['JavaScript', 'AI', 'Machine Learning', 'Network', 'C/C++', 'Java', 'Big Data', 'Natural Language Processing', 'Data Science', 'Python']",10,Signify,4,151.0,Industrial Manufacturing,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,0,1,1,0,0,0,0,1
2306,MA,$5B to $10B (USD),1,0,0,0,0,Senior Scientist - Clinical Informatics / NLP,140000-159999,data_scientist,"['ICD Coding', 'C/C++', 'Tableau', 'Java', '.Net', 'Natural Language Processing', 'C#', 'QlikView', 'Python', 'SPARQL']",10,Philips,4,2880.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0,"10,000+",1,0,0,1,1,0,0,0,0,1
2307,WA,Missing,0,0,1,0,0,Principal Technologist - Machine Learning and Data Science,140000-159999,data_scientist,"['AI', 'Machine Learning', 'Project Management', 'Management Experience', 'Software Development']",5,Blue Origin,4,18.0,Aerospace and Defense,0,1,0,0,0,0,0,0,0,0,0,1,missing,0,0,0,0,1,0,0,0,0,0
2308,CA,Missing,1,0,1,0,0,"Senior/Staff Research Scientist - Machine Learning, AI & NLP",140000-159999,data_scientist,"['AI', 'Machine Learning', 'Service-Oriented Architecture', 'C/C++', 'Java', 'Natural Language Processing', 'Software Development', 'Python']",8,"Medallia, Inc.",4,11.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,1,1,1,0,0,0,0
2309,NY,Missing,0,0,1,0,0,Research Director – Machine Learning,140000-159999,data_scientist,"['Natural Language Processing', 'Machine Learning']",2,Spotify,4,35.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,0,0,1,0,1,0,0,0
2310,CA,Missing,0,0,1,0,0,"Manager, Machine Learning",140000-159999,data_scientist,"['Natural Language Processing', 'Machine Learning', 'Project Management', 'Leadership Experience']",4,Lab126,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,1,0,0,0,0
2311,CA,Missing,0,0,1,0,0,"Manager, Machine Learning",140000-159999,data_scientist,"['Natural Language Processing', 'Machine Learning', 'Project Management', 'Leadership Experience']",4,Lab126,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,1,0,0,0,0
2312,OR,More than $10B (USD),1,0,1,0,1,"Data Scientist, Personalization",>160000,data_scientist,"['Machine Learning', 'Hadoop', 'Scala', 'Image Processing', 'C/C++', 'Java', 'Data Warehouse', 'Python']",8,Nike,4,6574.0,Consumer Goods and Services,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,1,1,0,0,0,0,0
2313,NY,Missing,1,1,1,0,1,Data Scientist,>160000,data_scientist,"['TensorFlow', 'Data Mining', 'Machine Learning', 'Hadoop', 'Kafka', 'SQL', 'Natural Language Processing', 'Spark', 'NoSQL', 'Python', 'Elasticsearch']",11,Stella.ai,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,0,1,0,1,0,0,0
2314,CA,$1B to $5B (USD),1,1,1,1,1,Data Scientist,>160000,data_scientist,"['Machine Learning', 'Hadoop', 'Project Management', 'R', 'HTML5', 'SQL', 'MongoDB', 'Spark', 'CSS', 'Python', 'ADAS', 'PHP', 'AWS']",13,Xilinx,4,96.0,Industrial Manufacturing,0,0,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,1,0,1,1,0,0,0,0
2315,CA,$1B to $5B (USD),1,1,1,1,1,Data Scientist,>160000,data_scientist,"['JavaScript', 'Data Mining', 'Machine Learning', 'Hadoop', 'R', 'SAS', 'C/C++', 'SQL', 'Tableau', '.Net', 'Java', 'Predictive Analytics', 'Spark', 'QlikView', 'SPSS', 'Data Analysis', 'MATLAB', 'Python']",18,TIBCO Software,4,30.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",1,1,1,1,1,1,0,0,0,0
2316,NY,$1B to $5B (USD),0,0,1,0,0,Data Scientist,>160000,data_scientist,"['Natural Language Processing', 'Data Mining', 'Machine Learning', 'Data Science']",4,"Discovery Communications, LLC",4,321.0,"Media, News and Publishing",0,0,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,1,0,0,0
2317,NY,Missing,0,0,1,1,1,Data Scientist,>160000,data_scientist,"['Pig', 'Hive', 'Machine Learning', 'Experimental Design', 'Perl', 'R', 'C/C++', 'Solr', 'Natural Language Processing', 'Data Analysis', 'MATLAB', 'AI', 'Data Mining', 'Hadoop', 'Scala', 'HBase', 'Java', 'Lucene', 'Spark', 'NoSQL']",20,S&P Global,4,700.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0,missing,0,0,1,1,1,0,1,0,0,0
2318,CA,Missing,1,0,1,1,1,Data Scientist - CA,>160000,data_scientist,"['Hive', 'Microsoft SQL Server', 'Machine Learning', 'Scripting', 'Hadoop', 'R', 'Statisical Analysis', 'HTML5', 'Java', 'SPSS', 'Python']",11,Bind Benefits,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,1,1,1,0,0,0,0
2319,NY,Missing,0,0,1,1,1,Data Scientist,>160000,data_scientist,"['Pig', 'Hive', 'Machine Learning', 'Experimental Design', 'Perl', 'R', 'C/C++', 'Solr', 'Natural Language Processing', 'Data Analysis', 'MATLAB', 'AI', 'Data Mining', 'Hadoop', 'Scala', 'HBase', 'Java', 'Lucene', 'Spark', 'NoSQL']",20,McGraw Hill Financial,4,32.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0,missing,0,0,1,1,1,0,1,0,0,0
2320,CA,Missing,1,0,1,1,0,Data Scientist (Predictive Services),>160000,data_scientist,"['Java', 'Data Mining', 'Machine Learning', 'R', 'Scala', 'Python', 'GIS']",7,Opendoor,3,15.0,Real Estate,0,0,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,1,1,1,0,0,0,0
2321,CA,Missing,1,0,1,0,0,Data Scientist - Machine Learning,>160000,data_scientist,"['Machine Learning', 'Data Analysis', 'Python']",3,Affirm,4,4.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,0,0,1,1,0,0,0,0
2322,CA,More than $10B (USD),1,0,1,0,1,1244531 - Data Scientist,>160000,data_scientist,"['TensorFlow', 'Machine Learning', 'Hadoop', 'Scala', 'Kafka', 'HBase', 'Big Data', 'Java', 'Software Development', 'Python', 'Elasticsearch']",11,Cisco Systems,4,4251.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,1,1,1,0,0,0,0
2323,NY,Missing,1,0,1,1,0,Data Scientist,>160000,data_scientist,"['TensorFlow', 'AI', 'Machine Learning', 'R', 'Scala', 'Spark', 'Git', 'Python', 'Data Science']",9,7Park Data,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,0,1,0,1,0,0,0
2324,CA,Missing,1,1,1,0,0,Data Scientist,>160000,data_scientist,"['Linux', 'Machine Learning', 'Scripting', 'SQL', 'Spark', 'NoSQL', 'Shell Scripting', 'Python', 'AWS']",9,Narvar,4,5.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,0,1,1,0,0,0,0
2325,CA,Missing,1,1,1,1,1,Senior Data Scientist,>160000,data_scientist,"['Pig', 'Hive', 'Machine Learning', 'Hadoop', 'R', 'Weka', 'Scala', 'SQL', 'Java', 'STATA', 'Spark', 'MATLAB', 'Python']",13,Splunk,4,30.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,1,1,1,1,0,0,0,0
2326,CA,Missing,1,1,1,1,0,Sr. Data Scientist,>160000,data_scientist,"['Machine Learning', 'R', 'Python', 'SQL']",4,Keep Truckin,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,0,1,0,0,0,0
2327,TX,$1B to $5B (USD),0,1,1,0,0,Data Scientist- Digital Media,>160000,data_scientist,"['Database Marketing', 'Customer Segmentation', 'Quantitative Analysis', 'Machine Learning', 'Marketing', 'Digital Marketing', 'Excel', 'SQL', 'Big Data', 'Business Analysis']",10,David Weekley Homes,4,104.0,Construction,0,0,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,0,1,0
2328,CA,Missing,1,0,1,1,1,"Data Scientist, Analytics - Sharing/Stories",>160000,data_scientist,"['TensorFlow', 'Hive', 'Quantitative Analysis', 'Machine Learning', 'Scripting', 'Hadoop', 'R', 'Perl', 'SAS', 'MATLAB', 'Python', 'PHP']",12,Facebook,4,387.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,1,0,0,1,1,0,0,0,0
2329,CA,$1B to $5B (USD),1,0,1,1,0,Data Scientist,>160000,data_scientist,"['TensorFlow', 'AI', 'Machine Learning', 'R', 'C/C++', 'Natural Language Processing', 'Python']",7,Moody's Corporation,4,284.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0,"Less than 10,000",0,0,0,0,1,1,0,0,0,0
2330,CA,Missing,1,0,1,0,0,Data Scientist,>160000,data_scientist,"['Linux', 'AI', 'Data Mining', 'Machine Learning', 'Network', 'Oracle', 'C/C++', 'Java', 'Cybersecurity', 'Python']",10,Ace Technologies,4,16.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,missing,0,0,0,1,1,1,0,0,0,0
2331,CA,Missing,1,0,1,1,0,Data Scientist,>160000,data_scientist,"['TensorFlow', 'Machine Learning', 'Scala', 'R', 'Azure', 'Java', 'Natural Language Processing', 'Python', 'AWS']",9,"Linc Global, Inc.",0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,1,1,1,0,0,0,0
2332,CA,Missing,1,0,1,1,0,Principal Data Scientist I,>160000,data_scientist,"['Machine Learning', 'R', 'C/C++', 'Java', 'Signal Processing', 'Python', 'OOP']",7,Roche,4,1661.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0,"10,000+",0,0,0,1,1,1,0,0,0,0
2333,CA,Missing,1,0,1,0,1,Sr Data Scientist,>160000,data_scientist,"['Spring', 'JavaScript', 'Hive', 'AI', 'System Design', 'Machine Learning', 'Hadoop', 'Kafka', 'Tableau', 'Java', 'Node.js', 'Cassandra', 'Spark', 'Software Development', 'Redis', 'PostgreSQL', 'Python']",17,NVIDIA,4,177.0,Computers and Electronics,0,0,0,0,0,0,0,0,0,0,0,1,missing,1,0,1,1,1,1,0,0,0,0
2334,CA,More than $10B (USD),1,1,1,1,1,Staff Data Scientist,>160000,data_scientist,"['Machine Learning', 'Hadoop', 'R', 'SQL', 'Spark', 'Python']",6,Walmart,4,157456.0,Retail,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,1,0,0,1,0,0,0,0
2335,CA,Missing,1,1,0,1,1,"Data Scientist, Analytics (Integrity)",>160000,data_scientist,"['Hive', 'Quantitative Analysis', 'Hadoop', 'R', 'Oracle', 'SAS', 'SQL', 'STATA', 'MySQL', 'SPSS', 'MATLAB', 'Python']",12,Facebook,4,387.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,1,0,0,1,1,0,0,0,0
2336,NY,Missing,1,0,1,1,0,Data Scientist - Natural Language Processing,>160000,data_scientist,"['TensorFlow', 'AI', 'Machine Learning', 'R', 'Scala', 'Solr', 'Sentiment Analytics', 'Apache', 'Lucene', 'Natural Language Processing', 'Spark', 'Git', 'Python']",13,7Park Data,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,0,1,0,1,0,0,0
2337,CA,$1B to $5B (USD),1,0,0,0,0,Data Scientist - User Behavior Analytics,>160000,data_scientist,['Python'],1,Symantec,4,1006.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,0,0,1,0,0,0,0
2338,CA,Missing,1,0,1,1,1,"Data Scientist, Analytics - Messenger Growth",>160000,data_scientist,"['TensorFlow', 'Hive', 'Quantitative Analysis', 'Machine Learning', 'Scripting', 'Network', 'Hadoop', 'R', 'Perl', 'SAS', 'MATLAB', 'Python', 'PHP']",13,Facebook,4,387.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,1,0,0,1,1,0,0,0,0
2339,CA,Missing,1,0,1,1,1,"Data Scientist, Analytics - Messenger Growth",>160000,data_scientist,"['TensorFlow', 'Hive', 'Quantitative Analysis', 'Machine Learning', 'Scripting', 'Network', 'Hadoop', 'R', 'Perl', 'SAS', 'MATLAB', 'Python', 'PHP']",13,Facebook,4,387.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,1,0,0,1,1,0,0,0,0
2340,CA,Missing,1,0,1,0,1,Data Scientist,>160000,data_scientist,"['TensorFlow', 'Hive', 'Machine Learning', 'Statisical Analysis', 'S3', 'AI', 'Hadoop', 'Spark', 'Python']",9,Figure,5,4.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,0,1,1,0,0,0,0
2341,CA,Missing,1,0,1,0,1,Senior Data Scientist,>160000,data_scientist,"['Linux', 'Ruby', 'Machine Learning', 'Hadoop', 'Scala', 'Perl', 'Oracle', 'C/C++', 'Solr', 'MySQL', 'Spark', 'NoSQL', 'Shell Scripting', 'Python', 'Jenkins', 'Elasticsearch']",16,Walmart eCommerce,4,252.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,1,0,1,1,0,0,0,0
2342,CA,More than $10B (USD),1,1,1,1,1,Expert Data Scientist,>160000,data_scientist,"['Machine Learning', 'Hadoop', 'R', 'SAP', 'SAS', 'Oracle', 'SQL', 'Teradata', 'Tableau', 'Spark', 'Python', 'AWS']",12,PG&E,4,599.0,Energy and Utilities,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",1,1,1,0,1,1,0,0,0,0
2343,CA,Missing,0,0,1,1,1,Alibaba Cloud Data Scientist San Mateo,>160000,data_scientist,"['Big Data', 'Data Mining', 'Machine Learning', 'Hadoop', 'R']",5,Alibaba,4,16.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,1,0,0,0,0
2344,CA,Missing,1,0,1,0,0,Principal Data Scientist,>160000,data_scientist,"['TensorFlow', 'Spark', 'Machine Learning', 'Python', 'AWS']",5,Formation,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,0,1,1,0,0,0,0
2345,CA,More than $10B (USD),1,0,1,0,1,Senior Data Scientist,>160000,data_scientist,"['Linux', 'Ruby', 'Machine Learning', 'Hadoop', 'Scala', 'Perl', 'Oracle', 'C/C++', 'Solr', 'MySQL', 'Spark', 'NoSQL', 'Shell Scripting', 'Python', 'Jenkins', 'Elasticsearch']",16,Walmart,4,157456.0,Retail,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,1,0,1,1,0,0,0,0
2346,CA,Missing,1,0,1,1,0,Lead Data Scientist,>160000,data_scientist,"['Machine Learning', 'Data Analysis', 'R', 'Marketing', 'Python', 'Tableau']",6,FoxNext Games,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,1,0,0,0,1,1,0,0,0,0
2347,CA,More than $10B (USD),1,0,1,0,1,1244527 - Senior Data Scientist,>160000,data_scientist,"['TensorFlow', 'Machine Learning', 'Hadoop', 'Scala', 'Kafka', 'HBase', 'Big Data', 'Java', 'Software Development', 'Python', 'Elasticsearch']",11,Cisco Systems,4,4251.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,1,1,1,0,0,0,0
2348,NY,Missing,0,1,0,1,0,Senior Data Scientist,>160000,data_scientist,"['Natural Language Processing', 'MongoDB', 'Data Mining', 'R', 'Sentiment Analytics', 'SQL', 'Elasticsearch']",7,Reorg Research,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,1,0,0,0
2349,IL,Missing,0,0,1,0,0,"Data Scientist / Quantitative Researcher, Systematic Trading",>160000,data_scientist,"['Natural Language Processing', 'AI', 'Machine Learning']",3,DRW Trading Group,5,7.0,Not Listed,1,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
2350,NY,More than $10B (USD),0,0,0,0,0,Data Scientist Manager - Vice President,>160000,data_scientist,['Quantitative Research'],1,JPMorgan Chase,4,21159.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0,"10,000+",0,0,0,0,1,0,1,0,0,0
2351,IL,Missing,0,0,1,0,0,"Data Scientist / Quantitative Researcher, Systematic Trading",>160000,data_scientist,"['Natural Language Processing', 'AI', 'Machine Learning']",3,DRW,0,0.0,Not Listed,1,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
2352,CA,$1B to $5B (USD),1,1,1,0,1,Senior Data Scientist,>160000,data_scientist,"['Hive', 'Machine Learning', 'Hadoop', 'Scala', 'C/C++', 'SQL', 'HBase', 'Java', 'Big Data', 'Spark', 'Shell Scripting', 'Python']",12,ServiceNow,4,97.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,1,1,1,1,0,0,0,0
2353,NY,More than $10B (USD),1,0,1,1,1,Chief Data Scientist,>160000,data_scientist,"['Pig', 'AI', 'Hive', 'Machine Learning', 'Hadoop', 'R', 'Tableau', 'Apache', 'Big Data', 'Natural Language Processing', 'MongoDB', 'Spark', 'Design Experience', 'NoSQL', 'Python']",15,Accenture,4,14987.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"10,000+",1,0,1,0,1,0,1,0,0,0
2354,CA,Missing,1,0,1,1,1,Motif Capital – Data Scientist,>160000,data_scientist,"['Machine Learning', 'Hadoop', 'Scala', 'R', 'Statisical Analysis', 'C/C++', 'Java', 'Big Data', 'Natural Language Processing', 'Hibernate', 'Cassandra', 'Spark', 'Python']",13,Motif Investing,2,2.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,1,1,1,0,0,0,0
2355,CA,Missing,1,0,0,1,1,"Data Scientist, Analytics - Crisis Response",>160000,data_scientist,"['TensorFlow', 'Hive', 'Quantitative Analysis', 'Scripting', 'Hadoop', 'R', 'Perl', 'SAS', 'MATLAB', 'Python', 'PHP']",11,Facebook,4,387.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,1,0,0,1,1,0,0,0,0
2356,CA,Missing,1,1,1,0,0,Systems software Performance Data Scientist Sunnyvale/China,>160000,data_scientist,"['Big Data', 'Data Mining', 'Machine Learning', 'Python', 'SQL']",5,Alibaba,4,16.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,1,0,0,0,0
2357,CA,Missing,1,0,1,0,0,Senior Data Scientist,>160000,data_scientist,"['Machine Learning', 'Python']",2,CircleUp,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,0,1,0,0,0,0
2358,CA,Missing,1,0,1,0,0,Principal Data Scientist,>160000,data_scientist,"['TensorFlow', 'Spark', 'Machine Learning', 'Python', 'AWS']",5,Formation,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,0,1,1,0,0,0,0
2359,NY,More than $10B (USD),1,0,1,0,0,NLP Scientist,>160000,data_scientist,"['TensorFlow', 'AI', 'Machine Learning', 'Scala', 'Sentiment Analytics', 'C/C++', 'Java', 'Natural Language Processing', 'Spark', 'Python']",10,AIG,4,2807.0,Insurance,0,0,0,0,0,0,0,0,0,0,1,0,"10,000+",0,0,1,1,1,0,1,0,0,0
2360,NY,Missing,0,0,1,0,0,Senior Quantitative Strategist/Data Scientist,>160000,data_scientist,"['Machine Learning', 'Signal Processing']",2,"Two Sigma Investments, LLC.",4,8.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0,missing,0,0,0,0,1,0,1,0,0,0
2361,VA,$5B to $10B (USD),1,0,1,1,1,Data Scientist,>160000,data_scientist,"['Hive', 'Machine Learning', 'TS/SCI Clearance', 'Hadoop', 'R', 'Big Data', 'Spark', 'Design Experience', 'Data Science', 'Python', 'Signal Processing']",11,Booz Allen Hamilton,4,1733.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"10,000+",0,0,1,0,1,0,0,1,0,0
2362,CA,More than $10B (USD),1,0,1,1,1,Principal Data Scientist,>160000,data_scientist,"['Data Mining', 'Machine Learning', 'Hadoop', 'R', 'C/C++', 'Cloud Computing', 'Java', '.Net', 'Spark', 'C#', 'NoSQL', 'MATLAB', 'Python', 'AWS']",14,"Samsung Semiconductor, Inc.",4,6130.0,Computers and Electronics,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,1,1,1,1,0,0,0,0
2363,MA,Missing,1,1,0,0,0,Senior Data Scientist (Marketing),>160000,data_scientist,"['Python', 'SQL']",2,Darwin Recruitment,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,0,0,0,0,0,1
2364,NY,Missing,1,1,1,1,1,Quantitative Data Scientist,>160000,data_scientist,"['TensorFlow', 'Hive', 'Spark', 'Machine Learning', 'Hadoop', 'R', 'C/C++', 'Python', 'SQL']",9,Harnham,5,6.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"Less than 10,000",0,0,1,0,1,0,1,0,0,0
2365,CA,Missing,1,0,1,0,0,"Data Scientist, Compliance, Security, and Investigations OpT...",>160000,data_scientist,"['Hive', 'Machine Learning', 'Experimental Design', 'Scripting', 'Perl', 'Oracle', 'MySQL', 'Software Development', 'Python', 'PHP']",10,Facebook,4,387.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,0,1,1,0,0,0,0
